37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
37	56.6	60.2	13.6	1.14	7.3	54.4	1.99	0.71
